순위,도로명,빈도수,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
1,중앙로,1782,93,0,0,110,75,55,91,0,334,164,140,156,95,56,235,65,113
2,경인로,609,201,0,0,260,0,0,0,0,148,0,0,0,0,0,0,0,0
3,남부순환로,574,560,0,0,0,0,0,0,0,2,0,0,10,0,2,0,0,0
4,동일로,560,487,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
5,중앙대로,536,0,359,113,0,0,0,0,0,7,0,0,0,0,0,0,57,0
6,호국로,461,0,0,21,0,0,0,0,0,340,4,78,0,4,0,14,0,0
7,평화로,425,4,0,2,0,0,0,0,0,354,18,3,0,3,28,0,0,13
8,도봉로,424,412,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
9,대학로,398,41,28,15,0,0,42,50,0,6,11,36,21,14,7,127,0,0
10,망양로,398,0,390,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
11,삼양로,387,351,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
12,부흥로,369,0,0,4,59,0,0,0,0,252,0,0,51,0,3,0,0,0
13,금강로,368,0,112,28,0,0,0,0,0,137,44,8,9,6,6,4,14,0
14,번영로,367,0,0,0,0,0,0,78,0,57,50,0,79,42,2,36,5,18
15,신흥로,352,66,0,0,0,5,0,0,0,197,0,0,2,5,14,47,0,16
16,통일로,339,195,0,0,0,0,0,0,0,140,0,0,0,0,0,4,0,0
17,시흥대로,333,295,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
18,달구벌대로,331,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,시민로,329,0,0,0,0,0,0,0,0,203,0,0,119,0,5,2,0,0
20,경수대로,322,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0
21,천호대로,313,306,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
22,낙동대로,312,0,297,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
23,서부로,309,0,25,0,0,0,0,2,2,68,0,38,24,6,3,5,136,0
24,수영로,306,0,215,0,0,0,0,0,0,8,0,83,0,0,0,0,0,0
25,중부대로,299,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0
26,화랑로,295,146,0,72,13,0,0,0,0,23,0,0,0,0,0,41,0,0
27,강변로,295,0,0,0,0,1,0,0,0,65,98,2,8,20,19,24,58,0
28,독산로,290,276,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0
29,동부로,288,0,0,39,0,0,15,0,0,71,0,2,3,0,40,7,107,4
30,경강로,287,0,0,0,0,0,0,0,0,44,243,0,0,0,0,0,0,0
31,서동로,278,0,80,0,0,13,0,0,0,10,44,0,6,105,0,18,2,0
32,한천로,277,268,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3
33,덕릉로,268,264,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
34,해안로,267,0,0,0,0,0,0,0,0,20,26,0,5,0,116,97,3,0
35,문화로,263,0,2,50,22,0,54,0,2,33,12,4,37,8,13,24,2,0
36,백범로,262,117,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0
37,태평로,257,0,0,24,0,0,25,0,0,113,0,0,0,0,0,0,54,41
38,당산로,256,88,4,62,0,0,0,0,5,71,0,17,0,5,0,4,0,0
39,퇴계로,249,220,0,0,0,0,0,0,0,0,15,0,0,0,0,14,0,0
40,논현로,245,237,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
41,계룡로,241,0,0,0,0,0,212,0,0,0,0,0,0,2,0,0,27,0
42,도림로,241,217,0,0,16,0,0,0,0,0,0,0,3,0,5,0,0,0
43,충절로,240,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0
44,마장로,240,89,0,0,121,0,0,0,0,14,0,2,0,0,0,0,14,0
45,경충대로,239,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0
46,남문로,235,0,3,0,12,40,0,0,0,150,2,0,0,10,2,16,0,0
47,보문로,234,141,0,0,0,0,82,0,0,0,0,0,0,0,0,11,0,0
48,국채보상로,233,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,신촌로,230,108,7,0,22,8,0,0,0,57,0,0,5,0,18,0,5,0
50,충장로,229,0,2,0,0,25,0,0,0,45,0,0,5,0,0,0,152,0
51,동서대로,226,0,1,0,0,0,206,0,0,6,0,0,4,4,0,2,3,0
52,부일로,226,34,0,0,14,0,0,0,0,178,0,0,0,0,0,0,0,0
53,계백로,218,0,0,0,0,0,113,0,0,0,0,0,105,0,0,0,0,0
54,용마산로,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,상도로,214,186,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,6
56,부천로,214,0,0,0,0,0,0,0,0,212,0,0,0,0,0,2,0,0
57,정조로,213,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0
58,가야대로,211,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,종로,209,189,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0
60,청정로,208,0,0,0,0,0,0,0,0,107,41,6,0,5,0,0,49,0
61,백양대로,208,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,향교로,205,0,0,0,23,0,0,2,0,77,8,14,0,2,2,2,66,9
63,우암로,205,0,66,0,0,0,71,0,0,5,0,31,0,4,0,0,28,0
64,산성대로,204,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0
65,대청로,202,0,95,0,20,0,29,0,0,14,0,9,10,0,0,0,21,4
66,수성로,200,0,18,92,0,0,0,0,0,80,6,0,0,2,2,0,0,0
67,진주대로,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
68,장제로,199,0,0,0,197,0,0,0,0,2,0,0,0,0,0,0,0,0
69,원효로,198,98,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
70,대동로,197,0,41,18,0,0,5,0,0,0,8,28,2,7,0,53,35,0
71,사상로,196,0,194,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72,중흥로,196,0,0,28,0,43,0,0,0,0,0,22,0,0,3,100,0,0
73,장안로,196,0,2,0,0,0,5,0,2,144,11,2,2,0,0,20,8,0
74,인주대로,196,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0
75,왕산로,195,100,0,0,12,0,0,0,0,50,2,0,0,0,2,16,13,0
76,공항로,195,0,80,36,4,0,0,0,0,0,2,58,0,5,6,0,0,4
77,해돋이로,194,0,161,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
78,김해대로,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0
79,남산로,192,0,8,29,0,4,0,33,0,16,18,15,22,7,8,4,28,0
80,면목로,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,와룡로,187,0,0,125,0,0,9,0,2,8,0,0,21,5,17,0,0,0
82,경춘로,187,0,0,0,0,0,0,0,0,181,6,0,0,0,0,0,0,0
83,공단로,186,0,14,0,0,0,0,2,3,23,10,10,2,2,0,48,72,0
84,연수로,184,0,151,0,0,0,0,0,0,12,0,9,0,0,0,0,0,12
85,삼성로,183,109,0,0,0,0,0,0,0,48,0,0,3,0,0,0,0,23
86,비슬로,182,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,구성로,182,0,0,0,0,83,0,0,0,27,0,0,0,0,0,72,0,0
88,양재대로,182,180,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
89,삼작로,182,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0
90,태종로,180,0,136,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0
91,평동로,179,0,0,0,0,51,0,0,0,21,0,36,0,66,5,0,0,0
92,여의대방로,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,대덕대로,177,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0
94,충무로,176,28,0,0,0,0,59,0,0,0,0,0,58,0,5,6,20,0
95,율곡로,176,88,0,0,0,0,0,0,0,22,66,0,0,0,0,0,0,0
96,성북로,176,101,40,12,0,0,19,0,0,0,4,0,0,0,0,0,0,0
97,동서로,174,0,0,0,0,0,0,0,0,51,0,0,0,112,6,0,5,0
98,원적로,174,0,0,0,81,0,0,0,0,93,0,0,0,0,0,0,0,0
99,내토로,173,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0
100,장기로,172,0,0,43,14,0,0,0,3,38,0,0,5,0,0,69,0,0
101,충렬대로,172,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,원당로,172,0,0,0,0,0,0,0,0,63,7,0,2,0,0,74,0,26
103,진남로,172,0,143,0,0,0,0,0,0,0,0,0,0,0,7,0,10,12
104,한강대로,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,화합로,171,0,0,0,0,0,0,41,0,130,0,0,0,0,0,0,0,0
106,구덕로,171,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,명륜로,170,0,75,32,0,0,0,4,0,0,14,45,0,0,0,0,0,0
108,동해대로,169,0,0,0,0,0,0,0,0,0,77,0,0,0,0,92,0,0
109,무학로,168,88,29,28,0,0,0,0,0,0,0,2,4,2,0,6,9,0
110,영산로,167,0,0,0,0,3,0,0,0,0,0,26,0,0,138,0,0,0
111,동남로,167,91,4,0,0,0,0,2,0,13,0,29,0,2,0,2,24,0
112,강남대로,167,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,대종로,167,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0
114,창이대로,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0
115,소사로,166,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,16,0
116,선화로,165,0,0,0,0,0,41,0,0,0,0,0,3,117,0,4,0,0
117,사당로,164,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,군분로,163,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0
119,다산로,162,107,27,0,0,0,0,0,0,23,0,0,0,0,3,2,0,0
120,양지로,161,0,25,18,6,0,0,0,0,107,3,0,0,0,0,2,0,0
121,수인로,160,0,0,0,3,0,0,0,0,157,0,0,0,0,0,0,0,0
122,효창원로,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,수정로,160,0,14,0,0,0,0,0,0,134,0,10,0,2,0,0,0,0
124,동광로,160,69,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,61
125,남강로,160,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,157,0
126,화곡로,160,149,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0
127,금학로,160,0,0,0,0,0,0,0,0,41,116,0,0,0,0,3,0,0
128,대신로,159,0,8,0,0,0,0,0,0,2,0,23,0,0,4,20,101,1
129,인수봉로,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,아차산로,158,137,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
131,삼산로,158,0,0,0,0,0,0,121,0,0,0,14,4,0,19,0,0,0
132,경원대로,157,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0
133,덕영대로,157,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0
134,난곡로,156,154,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
135,산정로,154,0,0,0,0,29,0,0,0,4,0,0,0,3,115,3,0,0
136,월드컵로,153,69,0,12,0,0,0,0,0,61,0,0,0,0,0,0,0,11
137,삼일로,153,0,0,0,0,0,0,0,0,45,6,20,38,2,22,3,17,0
138,칠성로,153,0,0,16,0,20,0,0,0,0,9,67,0,4,2,31,2,2
139,강서로,152,144,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
140,대성로,151,0,0,0,0,0,0,0,0,32,3,106,0,6,4,0,0,0
141,송산로,151,0,0,0,4,0,0,0,0,122,0,17,3,0,0,0,5,0
142,산업로,151,0,2,0,0,0,0,68,0,21,0,0,8,5,7,27,13,0
143,고척로,150,145,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
144,돋질로,150,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0
145,벚꽃로,149,60,0,0,9,0,0,0,0,0,0,0,42,8,0,0,30,0
146,금곡로,149,0,0,0,46,0,0,0,0,58,0,2,2,2,0,2,37,0
147,뚝섬로,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,연희로,149,129,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
149,희망로,148,0,0,28,0,0,0,0,0,86,24,0,10,0,0,0,0,0
150,답십리로,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,시청로,148,0,7,0,0,15,0,0,0,60,6,2,5,8,6,26,13,0
152,익산대로,148,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
153,동산로,147,22,0,0,21,0,0,14,0,28,0,3,7,0,0,0,52,0
154,수정남로,147,0,6,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0
155,화산로,146,0,0,0,11,30,0,6,0,57,0,0,37,2,3,0,0,0
156,언주로,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,대전로,146,0,0,0,0,0,142,0,0,0,0,0,0,0,2,2,0,0
158,고산로,145,0,0,12,10,0,0,0,0,96,0,0,0,2,11,0,0,14
159,망우로,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,노해로,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,선릉로,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,동호로,144,120,0,17,0,0,0,0,0,0,2,0,0,2,0,0,3,0
163,하남대로,144,0,0,0,0,48,0,0,0,96,0,0,0,0,0,0,0,0
164,월평로,144,0,0,0,0,0,24,62,0,5,2,39,0,0,0,0,4,8
165,충서로,143,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0
166,동문로,143,0,3,0,32,0,0,0,0,0,0,0,24,5,8,33,6,32
167,성지로,143,0,74,12,0,0,0,0,0,28,0,0,0,0,25,0,0,4
168,현충로,143,38,0,60,0,0,0,0,0,27,12,0,0,2,2,2,0,0
169,대림로,143,125,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,2
170,안양로,143,0,0,0,0,0,0,0,0,116,0,0,0,0,2,0,25,0
171,덕암로,143,0,0,0,0,0,73,0,0,0,0,40,0,3,0,5,22,0
172,석정로,142,0,0,0,122,0,0,0,0,2,0,0,0,7,0,0,11,0
173,학동로,141,119,0,0,0,0,0,0,0,5,0,0,0,5,7,0,5,0
174,동소문로,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,의병대로,141,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
176,아리랑로,140,51,0,0,0,0,30,0,0,2,16,0,14,18,2,7,0,0
177,송정로,140,10,0,0,0,28,0,0,0,68,4,0,4,3,0,21,2,0
178,디지털로,140,136,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
179,오목로,140,72,0,0,0,0,0,0,0,66,0,0,0,0,0,2,0,0
180,경안로,140,0,0,31,0,0,0,0,0,19,0,0,0,0,0,90,0,0
181,광명로,140,0,0,0,0,0,0,0,0,137,0,0,0,0,0,3,0,0
182,진해대로,138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0
183,오리로,138,40,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
184,계족로,138,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0
185,동명로,138,0,57,0,0,29,0,0,0,0,2,25,0,0,25,0,0,0
186,진양호로,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
187,도곡로,137,91,0,0,6,0,0,0,0,21,10,0,9,0,0,0,0,0
188,분성로,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0
189,능동로,137,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
190,옥천로,136,0,63,0,0,0,24,0,0,0,25,5,0,2,5,0,12,0
191,곰달래로,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,대흥로,135,59,0,0,0,0,46,0,0,5,0,0,25,0,0,0,0,0
193,신정로,135,19,0,0,0,0,0,57,0,23,0,10,18,4,2,0,0,2
194,성산로,134,46,0,2,0,0,16,0,0,25,16,0,2,2,2,6,17,0
195,영등포로,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,오금로,134,106,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
197,화동로,134,0,0,0,6,0,0,3,0,120,0,0,0,0,5,0,0,0
198,증산로,133,44,68,0,0,0,0,0,0,0,0,0,14,2,0,3,2,0
199,새마을로,133,0,0,0,0,0,0,0,0,19,0,0,0,0,0,112,2,0
200,공항대로,133,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
